City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,farafangana,-22.8167,47.8333,295.7,94,100,1.3,MG,1670093458
84,georgetown,5.4112,100.3354,299.95,94,20,1.03,MY,1670093375
85,paragominas,-2.9667,-47.4833,297.76,89,100,1.73,BR,1670093459
86,atuona,-9.8,-139.0333,298.76,72,0,8.53,PF,1670093460
87,port lincoln,-34.7333,135.8667,294.65,44,98,3.84,AU,1670093460
88,leningradskiy,69.3833,178.4167,257.26,77,100,3.2,RU,1670093257
89,parsons,37.3403,-95.2611,274.85,26,85,2.64,US,1670093461
90,kaitangata,-46.2817,169.8464,286.47,57,100,5.18,NZ,1670093461
91,mecca,21.4267,39.8261,299.14,66,2,1.49,SA,1670093441
92,richards bay,-28.783,32.0377,293.88,79,100,3.32,ZA,1670093260
93,akdepe,42.0551,59.3788,263.2,65,100,2.73,TM,1670093463
94,sao felix do xingu,-6.6447,-51.995,299.3,93,92,1.1,BR,1670093463
95,lebu,-37.6167,-73.65,290.4,71,77,5.33,CL,1670093433
96,kavieng,-2.5744,150.7967,300.65,78,95,2.79,PG,1670093464
97,galle,6.0367,80.217,298.03,85,93,1.08,LK,1670093465
98,yellowknife,62.456,-114.3525,252.9,77,100,3.09,CA,1670093084
99,rock sound,24.9,-76.2,298.12,64,62,10.51,BS,1670093465
100,abu dhabi,24.4667,54.3667,298.21,70,20,0.0,AE,1670093393
101,east london,-33.0153,27.9116,290.67,88,40,3.6,ZA,1670093466
102,america dourada,-11.4553,-41.4361,298.83,61,100,4.54,BR,1670093466
103,princeton,25.5384,-80.4089,301.16,61,0,6.69,US,1670093467
104,kodiak,57.79,-152.4072,266.88,79,0,3.09,US,1670093467
105,marica,-22.9194,-42.8186,304.12,87,100,5.5,BR,1670093468
106,tiksi,71.6872,128.8694,249.99,94,100,10.11,RU,1670093261
107,yulara,-25.2406,130.9889,297.5,17,0,2.64,AU,1670093398
108,port hedland,-20.3167,118.5667,299.18,83,15,5.14,AU,1670093469
109,henties bay,-22.116,14.2845,288.19,84,0,3.84,NA,1670093469
110,innisfail,-17.5333,146.0333,295.03,85,7,1.88,AU,1670093469
111,diplo,24.4667,69.584,291.51,42,19,0.5,PK,1670093470
112,mount abu,24.6,72.7,284.19,32,6,2.14,IN,1670093470
113,nikolskoye,59.7035,30.7861,269.09,91,100,3.3,RU,1670093470
114,namtsy,62.7161,129.6658,239.09,99,100,1.18,RU,1670093471
115,minas de barroteran,27.6333,-101.2833,294.99,60,17,4.62,MX,1670093471
116,chokurdakh,70.6333,147.9167,251.34,92,100,7.99,RU,1670093471
117,ribeira grande,38.5167,-28.7,287.47,77,75,7.2,PT,1670093387
118,mbandaka,0.0487,18.2603,295.78,95,100,1.16,CD,1670093472
119,pacifica,37.6138,-122.4869,283.24,94,100,2.57,US,1670093449
120,dharchula,29.85,80.5333,284.48,28,0,3.43,IN,1670093473
121,sorland,67.667,12.6934,277.07,71,100,6.61,NO,1670093473
122,bambanglipuro,-7.95,110.2833,298.1,85,100,0.85,ID,1670093473
123,odweyne,9.4092,45.064,293.75,42,6,5.06,SO,1670093474
124,waterfoot,53.6929,-2.2525,278.15,94,29,0.45,GB,1670093474
125,carnarvon,-24.8667,113.6333,294.02,82,0,7.83,AU,1670093474
126,faanui,-16.4833,-151.75,299.92,77,81,8.5,PF,1670093207
127,blytheville,35.9273,-89.919,283.18,53,0,9.77,US,1670093209
128,phan thiet,10.9333,108.1,297.4,83,100,3.34,VN,1670093475
129,victoria,22.2855,114.1577,294.79,83,35,3.58,HK,1670093234
130,dalvik,65.9702,-18.5286,269.11,84,15,3.78,IS,1670093202
131,isangel,-19.55,169.2667,300.31,85,100,3.47,VU,1670093330
132,manado,1.487,124.8455,297.58,100,40,1.03,ID,1670093476
133,copiapo,-27.3667,-70.3333,290.98,25,0,5.33,CL,1670093476
134,nemuro,43.3236,145.575,275.72,89,39,8.09,JP,1670093477
135,aguada,18.3794,-67.1882,302.73,66,0,4.02,PR,1670093477
136,marzuq,14.4,46.4667,290.94,41,0,0.34,YE,1670093477
137,pangnirtung,66.1451,-65.7125,259.15,66,75,3.6,CA,1670093478
138,arlit,18.7369,7.3853,298.89,14,7,2.04,NE,1670093286
139,makakilo city,21.3469,-158.0858,297.98,79,20,3.09,US,1670093478
